State,lat,lng,link,population
Andaman And Nicobar,11.67,92.74,http://www.topindiatour.com/andaman-nicobar-island.html,380500
Arunachal Pradesh,27.1,93.62,http://www.topindiatour.com/arunachal-pradesh.html,1255000
Assam,26.75,94.22,http://www.topindiatour.com/assam-travel.html,30940000
Bihar,25.79,87.48,http://www.topindiatour.com/bihar-gujarat-travel.html,99020000
Delhi,28.67,77.23,http://www.topindiatour.com/delhi-travel.html,18980000
Goa,15.49,73.82,http://www.topindiatour.com/goa-state-travel.html,1817000
Gujarat,22.26,71.19,http://www.topindiatour.com/bihar-gujarat-travel.html#gujarat,62700000
Himachal Pradesh,31.1,77.17,http://www.topindiatour.com/himachal-pradesh-travel.html,6856000
Jammu & Kashmir,33.78,76.58,http://www.topindiatour.com/jammu-kashmir-travel.html,12550000
Madhya Pradesh,21.3,76.13,http://www.topindiatour.com/madhya-pradesh-travel.html,73340000
Maharashtra,19.25,73.16,http://www.topindiatour.com/maharastra-travel.html,114200000
Punjab,31.52,75.98,http://www.topindiatour.com/punjab-travel.html,27980000
Rajasthan,26.45,74.64,http://www.topindiatour.com/rajasthan-travel.html,68890000
Uttar Pradesh,27.6,78.05,http://www.topindiatour.com/uttar-pradesh-travel.html,204200000
Uttarakhand,30.07,79.02,http://www.topindiatour.com/uttar-pradesh-travel.html#uttranchal,10080000
West Bengal,22.58,88.33,http://www.topindiatour.com/west-bengal-andaman.html,90320000
